%eval_id          Mean1          Mean2         Sigma1         Sigma2      MeanReal1      MeanImag1           Cxx1           Cxy1           Cyy1      MeanReal2      MeanImag2           Cxx2           Cxy2           Cyy2 
     164  -0.7745966692  -0.4342437493   0.2254033308              1       0.996527       0.074371          1e-05          1e-06        1.9e-05       0.996527      -0.074371          1e-05         -1e-06        1.9e-05 
     165  -0.7745966692   0.4342437493   0.2254033308              1       1.005906       0.049201          1e-06              0          7e-06       1.005906      -0.049201          1e-06             -0          7e-06 
     166   0.7745966692  -0.4342437493    1.774596669              1       0.998062       0.040394        1.2e-05         -2e-06        6.7e-05       0.998062      -0.040394        1.2e-05          2e-06        6.7e-05 
     167   0.7745966692   0.4342437493    1.774596669              1        1.01089       0.079503       0.000136          3e-06       0.000109        1.01089      -0.079503       0.000136         -3e-06       0.000109 
     168  -0.7745966692  -0.4342437493    1.774596669              1       1.019937       0.087001        9.5e-05        2.7e-05       0.000182       1.019937      -0.087001        9.5e-05       -2.7e-05       0.000182 
     169  -0.7745966692   0.4342437493    1.774596669              1       1.005765       0.049827          9e-06         -3e-06        3.8e-05       1.005765      -0.049827          9e-06          3e-06        3.8e-05 
     170   0.7745966692  -0.9604912687   0.2254033308              1        1.00109       0.018552          3e-06         -2e-06          7e-06        1.00109      -0.018552          3e-06          2e-06          7e-06 
     171  -0.7745966692  -0.9604912687   0.2254033308              1        0.99529        0.04499        1.2e-05          4e-06        1.8e-05        0.99529       -0.04499        1.2e-05         -4e-06        1.8e-05 
     172   0.7745966692   0.9604912687   0.2254033308              1       0.993246        0.05769          7e-06         -4e-06          6e-06       0.993246       -0.05769          7e-06          4e-06          6e-06 
     173  -0.7745966692   0.9604912687   0.2254033308              1        1.00546       0.037633          1e-06              0          4e-06        1.00546      -0.037633          1e-06             -0          4e-06 
     174   0.7745966692  -0.9604912687    1.774596669              1       1.000126        0.01775        1.3e-05          8e-06        6.4e-05       1.000126       -0.01775        1.3e-05         -8e-06        6.4e-05 
     175  -0.7745966692  -0.9604912687    1.774596669              1       1.008414       0.048766        5.9e-05        1.4e-05       0.000125       1.008414      -0.048766        5.9e-05       -1.4e-05       0.000125 
